,Tap #,Name ,AVG,6/1/26- 6/7/26,5/25/26- 5/31/26,5/18/26- 5/24/26,5/11/26- 5/17/26,5/4/26- 5/10/26,4/27/26- 5/3/26,4/20/26- 4/26/26,4/13/26- 4/19/26,4/6/26- 4/12/26,3/30/26- 4/5/26,3/23/26- 3/29/26,3/16/26- 3/22/26,3/9/26- 3/15/26,3/2/26- 3/8/26,2/23/26- 3/1/26,2/16/26- 2/22/26,2/9/26-   2/15/26,2/2/26- 2/8/26,"01/26/26
-02/01/26","01/12/25
-01/18/25","1/5/26
-1/11/26",12/29/25 -1/4/26,"11/25/25-
12/01/25","11/18/25
11/24/25",11/11/25-11/17/25,"11/4/25
11/10/25",E,"Dec 
2025
AVG","Nov 2025
AVG","08/25/25-
11/2/25",12/22/25-12/28/25,12/15/25-12/21/25,12/8/25- 12/14/25,12/1/25 -12/7/25,01/19/25-01/25/25
,59,ESPRESSO MARTINI (TITO'S) 1,0.11,0.09,0.09,0.14,0.09,0.07,0.08,0.08,0.09,0.12,0.09,0.12,0.08,0.2,0.1,0.09,0.15,0.13,0.1,0.17,0.21,0,0.19,0.11,,,,,0.2,0.1,,0.16,0.21,0.12,0.08,0.09
,31,GARAGE BEER LIME 1,0.89,0.91,,0.98,1.11,0.82,1.25,0.89,0.78,0.87,0.75,0.84,0.73,0.79,,,,,,,,,,,,,,,,,,,,,,
,47,GIN & JUICE (BOMBAY) 1,0.09,0.05,0.03,0.07,0.06,0.07,0.14,0.08,0.1,0.1,0.05,0.11,0.07,0.07,0.11,0.1,0.08,0.07,0.12,0.06,0.2,0.07,0.17,0.11,0.09,0.13,0.09,,0.2,0.1,0.02,0.16,0.19,0.1,0.15,0.04
,32,GOOSE IPA 1,0.22,0.34,0.12,0.18,0.17,0.16,0.31,0.2,0.13,0.15,0.23,0.19,0.22,0.17,0.27,0.43,0.17,,,,,,,,,,,,,,,,,,,
,83,Grey Goose (Vodka) 2,4.68,3,1.5,1.5,0,10,1.5,5,0,3.5,1.5,11,14,4,9,,,,,,,,,,,,,,,,,,,,,
,11,Grey Goose (Vodka) 3,15.92,3,11.5,5,33.2,12.6,27.6,10.5,7,9,32.5,15,9,17,33,15.5,4.5,30.53,8,9.5,39,28.6,16.5,13.5,1.5,6,15,,11.7,9,18,19.5,3,9,10.5,12.5
,1,Hennessy (Cognac) 3,16.32,10,3,24,30,7.5,25.1,16.5,17.5,11,7.5,36.5,26.5,28.5,0,24.5,27.5,10.52,3.5,21,0,12.1,,,,,,,2.4,1.5,2.25,3,1.5,1.5,3,14
,50,HOUSE MARGARITA (JOSE CUERVO) 1,0.13,0.14,0.06,0.23,0.11,0.11,0.22,0.15,0.14,0.17,0.18,0.22,0.09,0.15,0.16,0.18,0.13,0,0.13,0.12,0.13,0,0.18,0.11,,,,,0.1,0.1,,0.19,0.12,0.11,0.1,0.1
,70,JACK & LEMONADE 1,0.06,0.06,0.02,0.11,0.06,0.07,0.09,0.05,0.08,0.11,0.05,0.03,0.04,0.08,0.03,0.07,0.08,0.06,0.09,0.07,0.05,0.05,0.05,0.06,0.05,0,0,,0.1,0,,0.08,0.06,0.03,0.08,0.05
,89,Jack Daniel's (Whiskey) 2,9.74,18.1,1.5,3,14.1,13,1.5,13.6,14,7.5,15,1.5,6,9,3,23.5,5,19.5,10.5,8.02,6,4.5,21,6,15,4.5,9,,8.4,8.6,10.5,9,3,4.5,4.5,9.53
,19,Jack Daniel's (Whiskey) 3,19.19,18,1.5,21.6,6.5,23,13,15.6,6.5,8.5,42.5,10.5,39,27,10,31,20.5,31.1,26,21,30,25.7,21,6,15,25.5,3,,19.4,12.4,17.25,31,13.5,18,13.5,15.08
,20,Jack Daniel's Fire (Whiskey) 3,9.35,5.5,14.5,17,17,3,14,2,12,8,1.5,1.5,15.5,11,8,8,10,15.6,10.5,7.5,4.5,4.5,13,9,16.5,6,7.5,,5.6,9.8,7.5,6,0,4.5,4.5,3.03
