,Tap #,"In Gotab product mix, select date range Mon-Sun. Filter alphabetically, type oz of shot taps into G column. Type oz from beer and cocktails into D column. Copy E column and paste special values only into G",,"Weekly 
Usage",AVG,4/27/26- 5/3/26,4/20/26- 4/26/26,4/13/26- 4/19/26,4/6/26- 4/12/26,3/30/26- 4/5/26,3/23/26- 3/29/26,3/16/26- 3/22/26,3/9/26- 3/15/26,3/2/26- 3/8/26,2/23/26- 3/1/26,2/16/26- 2/22/26,2/9/26-   2/15/26,2/2/26- 2/8/26,"01/26/26
-02/01/26","01/12/25
-01/18/25","1/5/26
-1/11/26",12/29/25 -1/4/26,"11/25/25-
12/01/25","11/18/25
11/24/25",11/11/25-11/17/25,"11/4/25
11/10/25",E,"Dec 
2025
AVG","Nov 2025
AVG","08/25/25-
11/2/25",12/22/25-12/28/25,12/15/25-12/21/25,12/8/25- 12/14/25,12/1/25 -12/7/25,01/19/25-01/25/25,,,,,,,,,,,
,4,Don Julio Blanco (Tequila) 3,32,,22.69,32.00,18.50,28.00,30.50,47.00,18.00,4.00,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,DORTMUNDER GOLD 1,311,0.16,0.26,0.16,0.25,0.24,0.25,0.17,0.26,0.30,0.36,0.31,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,ESPRESSO MARTINI (TITO'S) 1,119,0.08,0.12,0.08,0.08,0.09,0.12,0.09,0.12,0.08,0.20,0.10,0.09,0.15,0.13,0.10,0.17,0.21,0.00,0.19,0.11,,,,,0.2,0.1,,0.16,0.21,0.12,0.08,0.09,,,,,,,,,,,
,31,GARAGE BEER 1,2480,1.25,0.86,1.25,0.89,0.78,0.87,0.75,0.84,0.73,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,GINNY FROM THE BLOCK (BOMBAY) 1,190,0.14,0.10,0.14,0.08,0.10,0.10,0.05,0.11,0.07,0.07,0.11,0.10,0.08,0.07,0.12,0.06,0.20,0.07,0.17,0.11,0.09,0.13,0.09,,0.2,0.1,0.02,0.16,0.19,0.10,0.15,0.04,,,,,,,,,,,
,32,GOOSE IPA,608,0.31,0.22,0.31,0.20,0.13,0.15,0.23,0.19,0.22,0.17,0.27,0.43,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,83,Grey Goose (Vodka) 2,1.50,,5.50,1.50,5.00,0.00,3.50,1.50,11.00,14.00,4.00,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,Grey Goose (Vodka) 3,27.6,,16.61,27.60,10.50,7.00,9.00,32.50,15.00,9.00,17.00,33.00,15.50,4.50,30.53,8.00,9.5,39.00,28.60,16.50,13.5,1.5,6.00,15.0,,11.7,9.0,18.00,19.50,3.00,9.00,10.50,12.5,,,,,,,,,,,
,1,Hennessy (Cognac) 3,25.1,,16.76,25.10,16.50,17.50,11.00,7.50,36.50,26.50,28.50,0.00,24.50,27.50,10.52,3.50,21.00,0.00,12.10,,,,,,,2.4,1.5,2.25,3.00,1.50,1.50,3.00,14.00,,,,,,,,,,,
,50,HOUSE MARGARITA (JOSE CUERVO) 1,341.40,0.22,0.14,0.22,0.15,0.14,0.17,0.18,0.22,0.09,0.15,0.16,0.18,0.13,0.00,0.13,0.12,0.13,0.00,0.18,0.11,,,,,0.1,0.1,,0.19,0.12,0.11,0.10,0.10,,,,,,,,,,,
